date,lbs,exercise,qty,time,muscle,comments,start,stop,duration,,states,,,rules
5/17,,,,,,,7:12 AM,,,,max streak,8,,weights for individual arms added up. i.e. each arm is listed weight / 2
,,treadmill,,25 mins,,warmup,,,,,curr streak,6,,reps for individual hands (like bicep curls) are total. i.e. each arm reps is total listed/  2
,,steps,"500,1200",,,,,,,,,,,
,40,chest weights,"20,20,20",,chest,,,,,,,,,
,,crunches,"?,25,35",,abs,,,,,,,,,
,60,squats,"?,?",,legs,,,,,,,,,
,75,squats,"30,50",,legs,,,,,,,,,
5/18,,,,,,,10:45 AM,,,,,,,
,,treadmill,,15 mins,,,,,,,,,,
,,steps,500,,,,,,,,,,,
,40,chest weights,"20,20,20",,chest,,,,,,,,,
,,crunches,"30,30,30",,abs,,,,,,,,,
,75,squats,40,,legs,,,,,,,,,
,85,squats,40,,legs,,,,,,,,,
5/19,,,,,,,,,,,,,,
,,steps,"750,450",,,,8:45 PM,9:22 PM,,,,,,
,70,lat pulldown,"20,20,20,20,20",,lats,,,,,,,,,
,40,crunching machine,"20,20,20,20,20",,abs,,,,,,,,,
5/20,,,,,,,11:15 AM,12:17 PM,,,,,,
,,steps,500,,,,,,,,,,,
,"90,70",lat pulldowns,"20,12,20",,lats,,,,,,,,,
,70,crunching machine,"20,20,20",,abs,,,,,,,,,
,85,squats,"30,30,40",,legs,,,,,,,,,
5/21,,,,,,,,,,,,,,
,,treadmill,,,,,,,333,,,,,
,40,chest weights,"20,20,20",,chest,,,,,,,,,
,,abs,,,,,,,,,,,,
,75,squats,"30,30,30",,legs,,,,3,,,,,
,,lower back extensions,"20,20",,low back,,,,,,,,,
,,lower ab leg lifts,"20,20",,low abs,,,,,,,,,
,,steps,1000,,,,,,,,,,,
5/22,,,,,,,,,,,,,,
5/23,,,,,,,,,,,,,,
,,treadmill,,19 mins,,,,,,,,,,
,65,bench,"14,15,15,13",,chest,,,,,,,,,
,85,squats,"30,30,30,30",,legs,,,,,,,,,
,,lower ab leg lifts,"25,26,25",,low abs,,,,,,,,,
,,lower back extensions ,"19,20,20",,low back,,,,,,,,,
,,steps,1000,,,,,,,,,,,
5/24,,,,,,,,,,,,,,
,,stretching,,,,,,,,,,,,
5/25,,,,,,,11:11 AM,12:38 PM,,,,,,
,,treadmill. 1.2 mi,,17 mins,,,,,,,,,,
,40,chest weights,"20,13,14",,chest,,,,,,,,,
,,crunches ,"30,30,30,30,30",,abs,,,,,,,,,
,95,squats,"30,30,30",,legs,,,,,,,,,
,,steps,1000,,,,,,,,,,,
5/26,,,,,,,,,,,,,,
5/27,,,,,,,,,,,,,,
,,lat pulldowns,,,lats,,,,,,,,,
,,push ups,,,chest,,,,,,,,,
5/28,,,,,,,,,,,,,,
5/29,,,,,,,,,,,,,,
,,treadmill,,,,,,,,,,,,
5/30,,,,,,,,,,,,,,
,,treadmill,,,,,,,,,,,,
,,eliptical,,,,,,,,,,,,
,,leg lifts ,,,low abs,,,,,,,,,
,,back extensions,,,low back,,,,,,,,,
,15,chest weights,,,chest,,,,,,,,,
5/31,,,,,,,,,,,,,,
,,eliptical,,10 mins,,,,,,,,,,
,,leg lifts,"25,20,30",,low abs,,,,,,,,,
,10,back extensions,"13,10,10",,low back,,,,,,,,,
,"70,80",crunch machine,"?,20,22",,abs,,,,,,,,,
,80,lat pulldowns ,"20,25",,lats,,,,,,,,,
,40,chest weights,20,,chest,,,,,,,,,
,95,squats,20,,legs,,,,,,,,,
,,steps ,1000,,,,,,,,,,,
6/1,,,,,,,,,,,,,,
,,treadmill,,,,,,,,,,,,
,,eliptical ,,15 mins,,,,,,,,,,
,50,chest weights,"10,10,10",,chest,,,,,,,,,
,5,crunches,"?,?,20",,abs,,,,,,,,,
,,steps,686,8 mins,,,,,,,,,,
6/6,,,,,,,2:00 PM,,,,,,,
,,pushups,"33,33,20",,,,chest,,,,,,,
,,crunches,"33,13",,,,abs,,,,,,,
,,jump squats,"30,20,13",,,,legs,,,,,,,
,3,crunches,20,,,,abs,,,,,,,
,,,,,,,,,,,,,,
6/10,,,,,,,,,,,,,,
,,jog,,,,,,,,,,,,
,,,,,,,,,,,,,,
6/15,,jog,,,,,,,,,,,,
6/16,,jog,,,,,,,,,,,,
,,pull ups,"10,10",,,,,,,,,,,
6/17,,long walk,,,,,,,,,,,,
,,pull ups,28,,,,,,,,,,,
6/18,,pull ups,20,,,,,,,,,,,
,,,,,,,,,,,,,,
6/21,,pull ups. assisted,15,,,,,,,,,,,
,,push ups,40,,,,,,,,,,,
,,,,,,,,,,,,,,
6/29,,treadmill,2 mi,30 mins,,,,,,,,,,
,,leg lifts ,"20,20,20",,,,,,,,,,,
,,hanging crunches,"10,9",,,,,,,,,,,
,20,chest weights,"10,10,10",,,,,,,,,,,
6/30,,treadmill,1.7 mi,35,,,,,,,,,,
,40,curl free weights,"20,14,12",,biceps,,,,,,,,,
,,steps,1000,,,,,,,,,,,
,50,chest press,"30ish,20,13",,,,,,,,,,,
,,hanging crunches,"10,10ish",,,,,,,,,,,
7/1,30,steps ,1768,,,,,,,,,,,
,40,chest press,"25,25,25,25",,,,,,,,,,,
,,hanging crunches,25,,,,,,,,,,,
7/5,,,,,,,,,,,,,,
,,stepmaster,1408 (88 floors),22,,,,,,,,,,
,20 ea,chest weights,"20,20",,,,,,,,,,,
,20 ea,chest weights w small incline,11,,,,,,,,,,,
,95,squats,"30,30,46",,,,,,,,,,,
